name	id	category	site_type	status	principal_figure	figure_type	silsila	year_built	year_built_precision	year_built_note	figure_born	figure_died	event_year	event_note	events	flags
Allo Mahar	allo-mahar	Muslim Shrine	Dargah/Mazar	Active	Pir Syed Muhammad Channan Shah Nuri	Sufi saint	Naqshbandi	1898	circa						Annual urs	FIGURE_MISMATCH;DESC_REWRITE
Amb Temples (Amb Sharif)	amb-temples-amb-sharif	Hindu Temple	Temple	Ruin	Shiva (Mahadev)	Deity		950	century	9th-10th c. CE, Hindu Shahi					None - abandoned; heritage visitation	DATE_SPLIT
Bari Imam	bari-imam	Muslim Shrine	Dargah/Mazar	Active	Sayyid Abdul Latif Kazmi (Bari Imam)	Sufi saint	Qadiri	1705	circa	Complex much enlarged in modern era	1617	1705			Annual urs (spring); daily langar	DATE_SPLIT
Bhagnari Mandir	bhagnari-mandir	Hindu Temple	Temple	Active	Shiva (Mahadev)	Deity		1940	unknown	Colonial era, pre-1947					Community worship; no fixed public festival documented	EVENTS_FILLED
Bhai Sant Thawan Das Mandir	bhai-sant-thawan-das-mandir	Nanakpanthi / Udasi Darbar	Temple	Active	Sant Thawan Das	Sant			unknown	Undocumented					Not documented	CAT_CHANGED
Bhai Waliram Darbar	bhai-waliram-darbar	Nanakpanthi / Udasi Darbar	Temple	Active	Bhai Waliram	Sant			unknown	Undocumented					Not documented	CAT_CHANGED
Bhit (Bhit Shah)	bhit-bhit-shah	Muslim Shrine	Dargah/Mazar	Active	Shah Abdul Latif Bhittai	Sufi saint		1772	exact	Tomb built after the saint's death	1689	1752			Annual urs (Safar); nightly Shah jo Raag; daily langar	DATE_SPLIT
Chandragup (Baba Chandragup)	chandragup-baba-chandragup	Hindu Temple	Natural sacred site	Active	Shiva (associated)	Deity			unknown	Natural feature; veneration of unrecorded antiquity					Hinglaj Yatra halt (April, four days)	SITE_TYPE
Churrio Jabal Durga Mata Temple	churrio-jabal-durga-mata-temple	Hindu Temple	Temple	Active	Durga (Mata)	Deity			unknown	Ancient; construction date undocumented					Maha Shivratri (spring); ash-immersion rites year-round	EVENTS_FILLED
Darbar Ghamkol Sharif (Zinda Pir)	darbar-ghamkol-sharif-zinda-pir	Muslim Shrine	Khanqah	Active	Khwaja Muhammad Qasim (Zinda Pir)	Sufi saint	Naqshbandi	1952	exact		1912	1999			Annual urs; large annual gathering	DATE_SPLIT
Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A)	darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-r-a	Muslim Shrine	Khanqah	Active	Khwaja Muhammad Sulaiman Taunsvi	Sufi saint	Chishti-Nizami	1850	circa	Shrine developed after the saint's death	1770	1850			Annual urs; qawwali and naat; daily langar	DATE_SPLIT
Darbar Sakhi Shah Chan Charagh	darbar-sakhi-shah-chan-charagh	Muslim Shrine	Dargah/Mazar	Active	Syed Sakhi Shah Chan Charagh (Shah Zaman)	Sufi saint		1750	century	18th c.; datings vary					Annual urs; Muharram tazia procession (9 Muharram); commemorative mach bonfire	EVENTS_FILLED
Dargah / Roza Sufi Shah Inayat Shaheed	dargah-roza-sufi-shah-inayat-shaheed	Muslim Shrine	Dargah/Mazar	Active	Sufi Shah Inayat Shaheed	Sufi saint		1718	circa	Burial c. 1718		1718			Annual urs; Sufi music and remembrance	EVENTS_FILLED;DATE_SPLIT
Dargah Fateh Pur Sharif	dargah-fateh-pur-sharif	Muslim Shrine	Dargah/Mazar	Active	Syed Rakhyal Shah	Sufi saint	Qadiri	1940	circa	Built after the saint's death; sheet value 1359 was unsupported	1842	1940			Annual urs	DATE_CORRECTED
Dargah of Khwaja Muhammad Zaman (Luari Sharif)	dargah-of-khwaja-muhammad-zaman-luari-sharif	Muslim Shrine	Khanqah	Active	Khwaja Muhammad Zaman (Sultan al-Aulia)	Sufi saint	Naqshbandi	1737	exact	Khanqah founded 1737	1713	1775			Annual urs	DATE_SPLIT;NOTE_STRIPPED
Dargah of Pir Muhammad Rashid (Roze Dhani), Pir Jo Goth	dargah-of-pir-muhammad-rashid-roze-dhani-pir-jo-goth	Muslim Shrine	Dargah/Mazar	Active	Pir Syed Muhammad Rashid Shah (Roze Dhani)	Sufi saint	Rashidi	1818	circa		1757	1818			Hur gatherings on 27 Rajab and at fixed times; no public urs observed	DATE_SPLIT
Dargah Pir Ratan Nath Jee	dargah-pir-ratan-nath-jee	Hindu Temple	Temple	Active	Baba Pir Ratan Nath	Sant		1850	century	British colonial period, 19th c.					Maha Shivratri	EVENTS_FILLED
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	darya-lal-mandir-darya-lal-sankat-mochan-mandir	Hindu Temple	Temple	Active	Jhulelal / Daryalal	Deity		1725	circa	Reputedly c. 300 years old; renovated 2015					Cheti Chand (spring)	EVENTS_FILLED
