id,Name,support_level,info_level
allo-mahar,Allo Mahar,Web-compiled,Low
amb-temples-amb-sharif,Amb Temples (Amb Sharif),Source-seeded,Moderate
bari-imam,Bari Imam,Source-seeded,Moderate
bhagnari-mandir,Bhagnari Mandir,Source-seeded,Moderate
bhai-sant-thawan-das-mandir,Bhai Sant Thawan Das Mandir,Source-seeded,Moderate
bhai-waliram-darbar,Bhai Waliram Darbar,Web-compiled,Low
bhit-bhit-shah,Bhit (Bhit Shah),Source-documented,Moderate
chandragup-baba-chandragup,Chandragup (Baba Chandragup),Web-compiled,Low
churrio-jabal-durga-mata-temple,Churrio Jabal Durga Mata Temple,Source-documented,Moderate
darbar-abul-muali-qadri,Darbar Abul Muali Qadri,Web-compiled,Low
darbar-ghamkol-sharif-zinda-pir,Darbar Ghamkol Sharif (Zinda Pir),Web-compiled,Low
darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-r-a,Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A),Source-seeded,Moderate
darbar-hazrat-shah-gohar-peer,Darbar Hazrat Shah Gohar Peer,Web-compiled,Low
darbar-malik-ahmad-ayaz,Darbar Malik Ahmad Ayaz,Web-compiled,Low
darbar-mian-qurban-ali-shah,Darbar Mian Qurban Ali Shah,Web-compiled,Low
darbar-sakhi-shah-chan-charagh,Darbar Sakhi Shah Chan Charagh,Source-documented,Moderate
dargah-roza-sufi-shah-inayat-shaheed,Dargah / Roza Sufi Shah Inayat Shaheed,Source-seeded,Moderate
dargah-fateh-pur-sharif,Dargah Fateh Pur Sharif,Source-documented,Moderate
dargah-pir-ratan-nath-jee,Dargah Pir Ratan Nath Jee,Source-documented,Moderate
dargah-of-khwaja-muhammad-zaman-luari-sharif,Dargah of Khwaja Muhammad Zaman (Luari Sharif),Web-compiled,Low
dargah-of-pir-muhammad-rashid-roze-dhani-pir-jo-goth,"Dargah of Pir Muhammad Rashid (Roze Dhani), Pir Jo Goth",Web-compiled,Low
darya-lal-mandir-darya-lal-sankat-mochan-mandir,Darya Lal Mandir (Darya Lal Sankat Mochan Mandir),Source-documented,Moderate
data-darbar,Data Darbar,Field-verified,Full
eidgah-sharif,Eidgah Sharif,Source-documented,Moderate
garh-maharaja-shorkot,Garh Maharaja (Shorkot),Source-documented,Moderate
golra-sharif,Golra Sharif,Source-documented,Moderate
gorakhnath-goraknath-temple,Gorakhnath (Goraknath) Temple,Source-documented,Moderate
gori-temple-gori-jo-mandar,Gori Temple (Gori jo Mandar),Web-compiled,Low
gurdas-ram-mandir,Gurdas Ram Mandir,Source-seeded,Moderate
gurdwara-babay-de-ber,Gurdwara Babay De Ber,Source-documented,Moderate
gurdwara-babay-nanki,Gurdwara Babay Nanki,Source-documented,Moderate
gurdwara-balila-sahib-bal-lila-sahib,Gurdwara Balila Sahib (Bal Lila Sahib),Source-documented,Moderate
gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore,"Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore",Web-compiled,Low
gurdwara-bhai-beba-singh,Gurdwara Bhai Beba Singh,Source-documented,Moderate
gurdwara-bhai-joga-singh,Gurdwara Bhai Joga Singh,Source-seeded,Moderate
gurdwara-chakki-sahib,Gurdwara Chakki Sahib,Web-compiled,Low
gurdwara-chhevin-patshahi-chitti-gatti,"Gurdwara Chhevin Patshahi, Chitti Gatti",Web-compiled,Low
gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan,"Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)",Web-compiled,Low
gurdwara-chhevin-patshahi-mozang,"Gurdwara Chhevin Patshahi, Mozang",Source-documented,Moderate
gurdwara-choa-sahib,Gurdwara Choa Sahib,Web-compiled,Low
gurdwara-chowmala-sahib,Gurdwara Chowmala Sahib,Source-seeded,Moderate
gurdwara-darbar-sahib-kartarpur,Gurdwara Darbar Sahib Kartarpur,Source-documented,Moderate
gurdwara-dash-mesh-pita,Gurdwara Dash Mesh Pita,Source-seeded,Moderate
gurdwara-dera-sahib,Gurdwara Dera Sahib,Source-documented,Moderate
gurdwara-guru-ram-das-ji,Gurdwara Guru Ram Das Ji,Source-documented,Moderate
gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi,Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi),Web-compiled,Low
gurdwara-malji-sahib,Gurdwara Malji Sahib,Web-compiled,Low
gurdwara-panja-sahib,Gurdwara Panja Sahib,Source-documented,Moderate
gurdwara-panjvi-chati-patshahi,Gurdwara Panjvi Chati Patshahi,Source-seeded,Moderate
gurdwara-patshahi-chhevin-hadiara-lahore,"Gurdwara Patshahi Chhevin (Hadiara), Lahore",Web-compiled,Low
gurdwara-patti-sahib,Gurdwara Patti Sahib,Source-documented,Moderate
gurdwara-pehli-patshahi-jind-pir-sukkur,"Gurdwara Pehli Patshahi (Jind Pir), Sukkur",Web-compiled,Low
gurdwara-rori-sahib,Gurdwara Rori Sahib,Source-documented,Moderate
gurdwara-sach-khand-sahib,Gurdwara Sach Khand Sahib,Source-documented,Moderate
gurdwara-sacha-sauda,Gurdwara Sacha Sauda,Source-documented,Moderate
gurdwara-sahib-saidpur-guru-nanak-dev-ji,Gurdwara Sahib Saidpur (Guru Nanak Dev Ji),Web-compiled,Low
gurdwara-shaheed-bhai-taru-singh,Gurdwara Shaheed Bhai Taru Singh,Source-documented,Moderate
gurdwara-shaheed-ganj-singh-singhnian,Gurdwara Shaheed Ganj Singh Singhnian,Source-documented,Moderate
gurdwara-singh-sabha,Gurdwara Singh Sabha,Source-documented,Moderate
gurdwara-sri-kiara-sahib,Gurdwara Sri Kiara Sahib,Source-documented,Moderate
gurdwara-sri-tilganji-sahib,Gurdwara Sri Tilganji Sahib,Web-compiled,Low
gurdwara-tambo-sahib,Gurdwara Tambo Sahib,Source-documented,Moderate
guru-gurpat-mandir-db-80-sirey-ghat,Guru Gurpat Mandir (DB-80 Sirey Ghat),Source-documented,Moderate
gurudwara-janam-asthan-nankana-sahib,Gurudwara Janam Asthan Nankana Sahib,Source-documented,Moderate
